t_ms,raw0,raw1,raw2,raw3,raw4,raw5,raw6,raw7,rx_s,ry_s,ix_s,iy_s,tx_s,ty_s,zoneI,zoneT,zoneR,ffj0_val,rfj0_val,action_busy,accepted,ctrl_rh_A_THJ5,ctrl_rh_A_THJ4,ctrl_rh_A_THJ2,ctrl_rh_A_THJ1,ctrl_rh_A_FFJ4,ctrl_rh_A_FFJ3,ctrl_rh_A_FFJ0,ctrl_rh_A_RFJ4,ctrl_rh_A_RFJ3,ctrl_rh_A_RFJ0
106053437,496.0,1022.0,0.0,390.0,400.0,1.0,1022.0,506.0,657.0556274256145,1353.8525226390686,516.6364812419146,529.8835705045278,1353.8525226390686,670.3027166882276,I0,T2,R8,0.7,2.5,0,1,1.0499999523162842,1.0,0.699999988079071,1.5,0.0,0.7799999713897705,0.699999988079071,0.3400000035762787,0.7799999713897705,2.5
106057062,877.0,1022.0,0.0,389.0,401.0,1.0,513.0,506.0,1161.7697283311772,1353.8525226390686,515.3117723156533,531.2082794307892,679.5756791720569,670.3027166882276,I0,T0,R1,0.7,2.5,0,1,0.0,0.0,0.699999988079071,-0.2619999945163727,0.0,0.7799999713897705,0.699999988079071,-0.3400000035762787,1.600000023841858,2.5
106061703,887.0,1022.0,0.0,390.0,400.0,1.0,678.0,443.0,1175.0168175937904,1353.8525226390686,516.6364812419146,529.8835705045278,898.1526520051747,586.8460543337645,I0,T2,R1,0.7,2.5,0,1,1.0499999523162842,1.0,0.699999988079071,1.5,0.0,0.7799999713897705,0.699999988079071,-0.3400000035762787,1.600000023841858,2.5
106065687,496.0,502.0,1.0,389.0,400.0,1.0,509.0,506.0,657.0556274256145,665.0038809831824,515.3117723156533,529.8835705045278,674.2768434670116,670.3027166882276,I0,T0,R0,0.7,0.7,0,1,0.0,0.0,0.699999988079071,-0.2619999945163727,0.0,0.7799999713897705,0.699999988079071,0.0,0.7799999713897705,0.699999988079071
106070328,496.0,502.0,1.0,390.0,401.0,1.0,509.0,506.0,657.0556274256145,665.0038809831824,516.6364812419146,531.2082794307892,674.2768434670116,670.3027166882276,I0,T0,R0,0.7,0.7,0,0,0.0,0.0,0.699999988079071,-0.2619999945163727,0.0,0.7799999713897705,0.699999988079071,0.0,0.7799999713897705,0.699999988079071
106070359,496.0,502.0,1.0,388.0,400.0,1.0,509.0,506.0,657.0556274256145,665.0038809831824,513.987063389392,529.8835705045278,674.2768434670116,670.3027166882276,I0,T0,R0,0.7,0.7,0,0,0.0,0.0,0.699999988079071,-0.2619999945163727,0.0,0.7799999713897705,0.699999988079071,0.0,0.7799999713897705,0.699999988079071
106070375,496.0,502.0,1.0,389.0,400.0,1.0,509.0,506.0,657.0556274256145,665.0038809831824,515.3117723156533,529.8835705045278,674.2768434670116,670.3027166882276,I0,T0,R0,0.7,0.7,0,0,0.0,0.0,0.699999988079071,-0.2619999945163727,0.0,0.7799999713897705,0.699999988079071,0.0,0.7799999713897705,0.699999988079071
106070390,496.0,502.0,1.0,389.0,400.0,1.0,509.0,506.0,657.0556274256145,665.0038809831824,515.3117723156533,529.8835705045278,674.2768434670116,670.3027166882276,I0,T0,R0,0.7,0.7,0,0,0.0,0.0,0.699999988079071,-0.2619999945163727,0.0,0.7799999713897705,0.699999988079071,0.0,0.7799999713897705,0.699999988079071
106070406,496.0,502.0,1.0,389.0,400.0,1.0,509.0,506.0,657.0556274256145,665.0038809831824,515.3117723156533,529.8835705045278,674.2768434670116,670.3027166882276,I0,T0,R0,0.7,0.7,0,0,0.0,0.0,0.699999988079071,-0.2619999945163727,0.0,0.7799999713897705,0.699999988079071,0.0,0.7799999713897705,0.699999988079071
106070421,496.0,502.0,1.0,389.0,400.0,1.0,509.0,506.0,657.0556274256145,665.0038809831824,515.3117723156533,529.8835705045278,674.2768434670116,670.3027166882276,I0,T0,R0,0.7,0.7,0,0,0.0,0.0,0.699999988079071,-0.2619999945163727,0.0,0.7799999713897705,0.699999988079071,0.0,0.7799999713897705,0.699999988079071
106070453,496.0,502.0,1.0,390.0,401.0,1.0,509.0,506.0,657.0556274256145,665.0038809831824,516.6364812419146,531.2082794307892,674.2768434670116,670.3027166882276,I0,T0,R0,0.7,0.7,0,0,0.0,0.0,0.699999988079071,-0.2619999945163727,0.0,0.7799999713897705,0.699999988079071,0.0,0.7799999713897705,0.699999988079071
